MLSNumber,Status,CloseDate,ListingContractDate,PendingDate,OriginalListPrice,ListPrice,PriceSqFtList,ClosePrice,PriceSqFtSold,Disclosures,SellerToClosingCosts,DOM,CDOM,StreetName,StreetNumber,StreetSuffix,City,StateOrProvince,PostalCode,LotSize,RoomCount,SqFtTotal,Stories,Subdivision,TempOffMarketDate,YearBuilt,BedsTotal,BathsFull,BathsHalf,BathsTotal,Area,PoolPrivate,GarageDesc,NoOfGarageCap
9867877,Sold,5/1/2020,2/20/2020,3/10/2020,193000,193000,99.28,192000,98.77,"Mud, Sellers Disclosure",5000,19,19,Travis Creek,3219,Way,Fresno,Texas,77545,5471,8,1944,1,Winfield Lakes Sec 2,,2003,4,2,0,2,38,FALSE,Attached Garage,2
94297931,Sold,3/13/2020,12/6/2019,1/24/2020,200000,197990,93.61,192000,90.78,Sellers Disclosure,3000,49,49,Travis Creek,3227,Way,Fresno,Texas,77545,6508,5,2115,1,Winfield Lakes Sec 2,,2004,4,2,0,2,38,FALSE,Attached Garage,2
84771857,Sold,1/27/2020,12/14/2019,12/20/2019,198500,198500,110.46,193000,107.4,"Owner/Agent, Sellers Disclosure",5000,6,6,Hawthorne Brook,1911,Lane,Fresno,Texas,77545,5500,6,1797,1,Winfield Lakes Sec 13,,2009,3,2,0,2,38,FALSE,Attached Garage,2
66870351,Sold,2/28/2020,1/4/2020,1/27/2020,190000,190000,120.41,193500,122.62,Sellers Disclosure,0,23,47,Scarlet View,2414,Lane,Fresno,Texas,77545,5720,5,1578,1,Winfield Lakes Sec 15,,2012,3,2,0,2,38,FALSE,Attached Garage,2
9513460,Sold,8/30/2019,8/19/2019,8/29/2019,189900,189900,122.99,194000,125.65,Sellers Disclosure,6000,10,48,Feather Green,2602,Trail,Fresno,Texas,77545,5530,7,1544,1,Winfield Lakes,,2009,4,2,0,2,38,FALSE,Attached Garage,2
84575511,Sold,3/23/2020,2/7/2020,2/27/2020,194900,194900,123.2,194900,123.2,"Mud, Other Disclosures",4000,15,15,Brown Maple,2414,Drive,Fresno,Texas,77545,4950,5,1582,1,Winfield Lakes Sec 14,,2014,3,2,0,2,38,FALSE,Attached Garage,2
38961678,Sold,10/13/2020,9/3/2020,9/9/2020,195000,195000,102.63,196000,103.16,Sellers Disclosure,0,6,6,Vermillion View,1946,Street,Fresno,Texas,77545,,7,1900,2,Winfield Lakes,,2009,4,2,1,2.1,38,FALSE,Attached Garage,2
61949460,Sold,9/19/2019,8/8/2019,8/21/2019,195000,195000,133.74,197500,135.46,"Mud, Sellers Disclosure",0,13,13,Yellow Pear,2519,Way,Fresno,Texas,77545,4943,6,1458,1,Winfield Lakes,,2015,3,2,0,2,38,FALSE,Attached Garage,2
32767479,Sold,6/26/2020,5/15/2020,5/31/2020,199000,199000,124.92,199000,124.92,"Mud, Sellers Disclosure",0,10,10,Yellow Pear,2522,Way,Fresno,Texas,77545,4857,6,1593,1,Winfield Lakes,,2015,3,2,0,2,38,FALSE,Attached Garage,2
90305788,Sold,4/3/2020,2/23/2020,3/5/2020,205000,205000,112.58,199000,109.28,"Mud, Sellers Disclosure",0,11,11,Cadbury Castle,2003,Lane,Fresno,Texas,77545,5752,7,1821,1,Cambridge Falls,,2012,3,2,0,2,38,FALSE,Attached Garage,2
