MLSNumber,Status,CloseDate,ListingContractDate,PendingDate,OriginalListPrice,ListPrice,PriceSqFtList,ClosePrice,PriceSqFtSold,Disclosures,SellerToClosingCosts,DOM,CDOM,StreetName,StreetNumber,StreetSuffix,City,StateOrProvince,PostalCode,LotSize,RoomCount,SqFtTotal,Stories,Subdivision,TempOffMarketDate,YearBuilt,BedsTotal,BathsFull,BathsHalf,BathsTotal,Area,PoolPrivate,GarageDesc,NoOfGarageCap
72740009,Sold,7/15/2021,6/11/2021,6/21/2021,245000,245000,115.4,250000,117.76,"Mud, Sellers Disclosure",0,10,10,Alcove Foster,2310,Court,Fresno,Texas,77545,6656,4,2123,2,Winfield Lakes Sec 16,,2014,4,2,1,2.1,38,FALSE,,
81294980,Sold,2/11/2021,10/26/2020,10/26/2020,251810,251810,141.78,252150,141.98,Mud,0,0,0,Golden Hills,2714,Lane,Fresno,Texas,77545,,10,1776,1,Winfield Lakes,,2020,3,2,0,2,38,FALSE,Attached Garage,2
17781614,Sold,7/30/2021,6/10/2021,6/17/2021,235000,235000,130.41,252500,140.12,"Mud, Sellers Disclosure",0,7,7,Bergen Bay,2819,Lane,Fresno,Texas,77545,5175,7,1802,1,Cambridge Falls Sec 10,,2018,4,2,2,2.2,38,FALSE,Attached Garage,2
60773642,Sold,7/16/2021,5/26/2021,6/8/2021,248800,248800,121.19,260000,126.64,Sellers Disclosure,0,8,8,Bravos Manor,1902,Lane,Fresno,Texas,77545,6250,9,2053,1,Cambridge Falls,,2016,4,2,0,2,38,FALSE,Detached Garage,2
54448330,Sold,6/17/2021,4/15/2021,4/15/2021,260665,260665,146.77,260665,146.77,Mud,0,0,0,Hidden Embers,2210,Path,Fresno,Texas,77545,,10,1776,1,Winfield Lakes,,2021,3,2,0,2,38,FALSE,Attached Garage,2
96391531,Sold,2/22/2021,12/7/2020,1/23/2021,264990,271990,127.4,265990,124.59,Mud,0,47,150,Honey Heights,2343,Lane,Fresno,Texas,77545,,11,2135,2,Winfield Lakes,,2020,3,2,1,2.1,38,FALSE,Attached Garage,2
50644383,Sold,8/16/2021,6/20/2021,7/11/2021,268000,268000,124.65,268500,124.88,"Mud, Sellers Disclosure",1594,16,16,Cadbury Castle,1815,Lane,Fresno,Texas,77545,7334,11,2150,1,Cambridge Falls,,2013,4,2,0,2,38,FALSE,Attached Garage,
39490901,Sold,5/28/2021,5/18/2021,5/20/2021,288569,288569,162.21,280569,157.71,Mud,0,2,113,Honey Heights,2402,Lane,Fresno,Texas,77545,,10,1779,1,Winfield Lakes,,2021,4,2,0,2,38,FALSE,Attached Garage,2
96106064,Sold,7/28/2021,4/20/2021,4/20/2021,281390,281390,141.4,281390,141.4,Mud,0,0,0,Hidden Embers,2218,Path,Fresno,Texas,77545,,12,1990,2,Winfield Lakes,,2021,3,2,0,2,38,FALSE,Attached Garage,2
36943584,Sold,7/27/2021,6/23/2021,7/1/2021,309990,309990,149.03,299990,144.23,Mud,0,8,8,Fawn Mountain,2706,Drive,Fresno,Texas,77545,,11,2080,2,Winfield Lakes,,2021,3,2,1,2.1,38,FALSE,Attached Garage,2
50846065,Sold,7/29/2021,6/25/2021,7/1/2021,320790,320790,150.25,307665,144.11,Mud,0,6,15,Oakleaf Ash,2610,Lane,Fresno,Texas,77545,,11,2135,2,Winfield Lakes,,2021,4,2,1,2.1,38,FALSE,Attached Garage,2
